,name,basin,year,t0,tf,findex
0,MONA,['SP'],2019,2019-01-02 18:00:00.000040,2019-01-07 12:00:00.000040,116
1,NOT_NAMED,['WP'],2019,2019-01-04 18:00:00.000040,2019-01-20 18:00:00.000040,117
2,DESMOND,['SI'],2019,2019-01-20 00:00:00.000040,2019-01-22 06:00:00.000040,118
3,RILEY,['SI'],2019,2019-01-23 18:00:00.000040,2019-01-29 18:00:00.000040,119
4,GELENA,['SI'],2019,2019-02-06 00:00:00.000040,2019-02-15 00:00:00.000040,120
5,FUNANI,['SI'],2019,2019-02-05 12:00:00.000040,2019-02-10 00:00:00.000040,121
6,NEIL,['SP'],2019,2019-02-09 18:00:00.000040,2019-02-10 06:00:00.000040,122
7,OMA,['SP'],2019,2019-02-12 00:00:00.000040,2019-02-25 06:00:00.000040,123
8,WUTIP,['WP'],2019,2019-02-19 06:00:00.000040,2019-03-01 00:00:00.000040,124
9,POLA,['SP'],2019,2019-02-26 06:00:00.000040,2019-03-01 18:00:00.000040,125
10,HALEH,['SI'],2019,2019-03-02 06:00:00.000040,2019-03-09 12:00:00.000040,126
11,IDAI,['SI'],2019,2019-03-09 06:00:00.000040,2019-03-14 12:00:00.000040,127
12,SAVANNAH,['SI'],2019,2019-03-14 00:00:00.000040,2019-03-21 12:00:00.000040,128
13,NOT_NAMED,['WP'],2019,2019-03-15 00:00:00.000040,2019-03-19 00:00:00.000040,129
14,TREVOR,['SP'],2019,2019-03-17 18:00:00.000040,2019-03-23 12:00:00.000040,130
15,VERONICA,['SI'],2019,2019-03-19 18:00:00.000040,2019-03-26 12:00:00.000040,131
16,JOANINHA,['SI'],2019,2019-03-22 00:00:00.000040,2019-03-31 00:00:00.000040,132
17,WALLACE,['SI'],2019,2019-04-05 00:00:00.000040,2019-04-10 00:00:00.000040,133
18,KENNETH,['SI'],2019,2019-04-23 00:00:00.000040,2019-04-26 12:00:00.000040,134
19,LORNA,['SI'],2019,2019-04-23 12:00:00.000040,2019-04-29 18:00:00.000040,135
20,FANI,['NI'],2019,2019-04-27 00:00:00.000040,2019-05-03 06:00:00.000040,136
21,LILI,['SI'],2019,2019-05-09 06:00:00.000040,2019-05-11 00:00:00.000040,137
22,ANN,['SP'],2019,2019-05-11 18:00:00.000040,2019-05-16 06:00:00.000040,138
23,ANDREA,['NA'],2019,2019-05-20 18:00:00.000040,2019-05-22 06:00:00.000040,139
24,VAYU,['NI'],2019,2019-06-10 12:00:00.000040,2019-06-17 06:00:00.000040,140
25,ALVIN,['EP'],2019,2019-06-25 12:00:00.000040,2019-06-30 00:00:00.000040,141
26,NOT_NAMED,['WP'],2019,2019-06-28 18:00:00.000040,2019-06-30 12:00:00.000040,142
27,BARBARA,['EP'],2019,2019-06-30 06:00:00.000040,2019-07-08 06:00:00.000040,143
28,MUN,['WP'],2019,2019-07-04 00:00:00.000040,2019-07-04 12:00:00.000040,144
29,COSME,['EP'],2019,2019-07-06 12:00:00.000040,2019-07-10 18:00:00.000040,145
30,BARRY,['NA'],2019,2019-07-10 12:00:00.000040,2019-07-16 06:00:00.000040,146
31,NOT_NAMED,['EP'],2019,2019-07-12 06:00:00.000040,2019-07-15 06:00:00.000040,147
32,DANAS,['WP'],2019,2019-07-16 06:00:00.000040,2019-07-21 06:00:00.000040,148
33,DALILA,['EP'],2019,2019-07-22 06:00:00.000040,2019-07-26 12:00:00.000040,149
34,NOT_NAMED,['NA'],2019,2019-07-22 12:00:00.000040,2019-07-23 12:00:00.000040,150
35,NARI,['WP'],2019,2019-07-25 06:00:00.000040,2019-07-27 12:00:00.000040,151
36,ERICK,['EP'],2019,2019-07-27 12:00:00.000040,2019-08-05 06:00:00.000040,152
37,FLOSSIE,['EP'],2019,2019-07-28 12:00:00.000040,2019-08-07 00:00:00.000040,153
38,WIPHA,['WP'],2019,2019-07-30 18:00:00.000040,2019-08-03 18:00:00.000040,154
39,FRANCISCO,['WP'],2019,2019-08-01 18:00:00.000040,2019-08-07 06:00:00.000040,155
40,GIL,['EP'],2019,2019-08-02 18:00:00.000040,2019-08-06 00:00:00.000040,156
41,LEKIMA,['WP'],2019,2019-08-04 00:00:00.000040,2019-08-12 00:00:00.000040,157
42,KROSA,['WP'],2019,2019-08-05 18:00:00.000040,2019-08-16 06:00:00.000040,158
43,HENRIETTE,['EP'],2019,2019-08-11 18:00:00.000040,2019-08-15 00:00:00.000040,159
44,BAILU,['WP'],2019,2019-08-21 06:00:00.000040,2019-08-24 18:00:00.000040,160
45,IVO,['EP'],2019,2019-08-21 06:00:00.000040,2019-08-27 00:00:00.000040,161
46,CHANTAL,['NA'],2019,2019-08-20 18:00:00.000040,2019-08-26 18:00:00.000040,162
47,DORIAN,['NA'],2019,2019-08-24 06:00:00.000040,2019-09-09 00:00:00.000040,163
48,PODUL,['WP'],2019,2019-08-26 12:00:00.000040,2019-08-30 06:00:00.000040,164
49,ERIN,['NA'],2019,2019-08-26 12:00:00.000040,2019-08-29 18:00:00.000040,165
50,JULIETTE,['EP'],2019,2019-09-01 00:00:00.000040,2019-09-09 12:00:00.000040,166
51,LINGLING,['WP'],2019,2019-09-02 00:00:00.000040,2019-09-07 12:00:00.000040,167
52,FAXAI,['WP'],2019,2019-09-01 18:00:00.000040,2019-09-10 06:00:00.000040,168
53,AKONI,['EP'],2019,2019-09-03 06:00:00.000040,2019-09-06 18:00:00.000040,169
54,KAJIKI,['WP'],2019,2019-09-03 00:00:00.000040,2019-09-04 00:00:00.000040,170
55,GABRIELLE,['NA'],2019,2019-09-03 00:00:00.000040,2019-09-11 12:00:00.000040,171
56,FERNAND,['NA'],2019,2019-09-03 06:00:00.000040,2019-09-05 00:00:00.000040,172
57,KIKO,['EP'],2019,2019-09-12 06:00:00.000040,2019-09-26 18:00:00.000040,173
58,HUMBERTO,['NA'],2019,2019-09-12 12:00:00.000040,2019-09-20 12:00:00.000040,174
59,PEIPAH,['WP'],2019,2019-09-14 18:00:00.000040,2019-09-16 12:00:00.000040,175
60,MARIO,['EP'],2019,2019-09-16 12:00:00.000040,2019-09-24 18:00:00.000040,176
61,LORENA,['EP'],2019,2019-09-17 06:00:00.000040,2019-09-22 12:00:00.000040,177
62,JERRY,['NA'],2019,2019-09-17 00:00:00.000040,2019-09-28 00:00:00.000040,178
63,IMELDA,['NA'],2019,2019-09-17 12:00:00.000040,2019-09-19 00:00:00.000040,179
64,TAPAH,['WP'],2019,2019-09-19 00:00:00.000040,2019-09-23 00:00:00.000040,180
65,KAREN,['NA'],2019,2019-09-22 00:00:00.000040,2019-09-27 12:00:00.000040,181
66,LORENZO,['NA'],2019,2019-09-22 18:00:00.000040,2019-10-04 06:00:00.000040,182
67,HIKAA,['NI'],2019,2019-09-23 00:00:00.000040,2019-09-24 18:00:00.000040,183
68,MITAG,['WP'],2019,2019-09-27 06:00:00.000040,2019-10-04 00:00:00.000040,184
69,NARDA,['EP'],2019,2019-09-28 12:00:00.000040,2019-10-01 06:00:00.000040,185
70,HAGIBIS,['WP'],2019,2019-10-05 06:00:00.000040,2019-10-13 00:00:00.000040,186
71,MELISSA,['NA'],2019,2019-10-08 18:00:00.000040,2019-10-14 18:00:00.000040,187
72,EMA,['EP'],2019,2019-10-12 12:00:00.000040,2019-10-16 00:00:00.000040,188
73,NOT_NAMED,['NA'],2019,2019-10-14 12:00:00.000040,2019-10-17 12:00:00.000040,189
74,NOT_NAMED,['EP'],2019,2019-10-16 00:00:00.000040,2019-10-16 12:00:00.000040,190
75,OCTAVE,['EP'],2019,2019-10-17 00:00:00.000040,2019-10-21 06:00:00.000040,191
76,NEOGURI,['WP'],2019,2019-10-16 18:00:00.000040,2019-10-22 06:00:00.000040,192
77,NESTOR,['NA'],2019,2019-10-17 12:00:00.000040,2019-10-21 00:00:00.000040,193
78,BUALOI,['WP'],2019,2019-10-19 00:00:00.000040,2019-10-25 12:00:00.000040,194
79,PRISCILLA,['EP'],2019,2019-10-19 12:00:00.000040,2019-10-21 00:00:00.000040,195
80,PABLO,['NA'],2019,2019-10-23 18:00:00.000040,2019-10-29 00:00:00.000040,196
81,KYARR,['NI'],2019,2019-10-24 18:00:00.000040,2019-11-01 18:00:00.000040,197
82,OLGA,['NA'],2019,2019-10-25 12:00:00.000040,2019-10-27 18:00:00.000040,198
83,REBEKAH,['NA'],2019,2019-10-27 00:00:00.000040,2019-11-01 12:00:00.000040,199
84,MAHA,['NI'],2019,2019-10-30 06:00:00.000040,2019-11-06 18:00:00.000040,200
85,MATMO,"['NI', 'WP']",2019,2019-10-29 18:00:00.000040,2019-11-06 00:00:00.000040,201
86,HALONG,['WP'],2019,2019-11-02 18:00:00.000040,2019-11-09 18:00:00.000040,202
87,NAKRI,['WP'],2019,2019-11-05 18:00:00.000040,2019-11-10 18:00:00.000040,203
88,MATMO,['NI'],2019,2019-11-07 12:00:00.000040,2019-11-10 18:00:00.000040,204
89,FENGSHEN,['WP'],2019,2019-11-11 18:00:00.000040,2019-11-18 00:00:00.000040,205
90,RAYMOND,['EP'],2019,2019-11-13 06:00:00.000040,2019-11-17 18:00:00.000040,206
91,KALMAEGI,['WP'],2019,2019-11-12 18:00:00.000040,2019-11-20 18:00:00.000040,207
92,NOT_NAMED,['EP'],2019,2019-11-15 12:00:00.000040,2019-11-18 06:00:00.000040,208
93,SEBASTIEN,['NA'],2019,2019-11-19 06:00:00.000040,2019-11-27 12:00:00.000040,209
94,FUNG-WONG,['WP'],2019,2019-11-19 12:00:00.000040,2019-11-23 12:00:00.000040,210
95,RITA,['SP'],2019,2019-11-24 00:00:00.000040,2019-11-27 00:00:00.000040,211
96,KAMMURI,['WP'],2019,2019-11-25 18:00:00.000040,2019-12-06 00:00:00.000040,212
97,PAWAN,['NI'],2019,2019-12-03 00:00:00.000040,2019-12-06 18:00:00.000040,213
98,NOT_NAMED,['NI'],2019,2019-12-03 12:00:00.000040,2019-12-05 00:00:00.000040,214
99,BELNA,['SI'],2019,2019-12-05 00:00:00.000040,2019-12-11 06:00:00.000040,215
100,AMBALI,['SI'],2019,2019-12-05 00:00:00.000040,2019-12-08 06:00:00.000040,216
101,PHANFONE,['WP'],2019,2019-12-21 18:00:00.000040,2019-12-28 18:00:00.000040,217
102,SARAI,['SP'],2019,2019-12-26 06:00:00.000040,2019-12-31 18:00:00.000040,218
103,CALVINIA,['SI'],2019,2019-12-29 12:00:00.000040,2020-01-01 18:00:00.000040,219
104,BLAKE,['SI'],2020,2020-01-05 18:00:00.000040,2020-01-08 12:00:00.000040,220
105,CLAUDIA,['SI'],2020,2020-01-11 12:00:00.000040,2020-01-16 00:00:00.000040,221
106,TINO,['SP'],2020,2020-01-16 18:00:00.000040,2020-01-19 06:00:00.000040,222
107,NOT_NAMED,['SI'],2020,2020-01-22 12:00:00.000040,2020-01-23 18:00:00.000040,223
108,DIANE,['SI'],2020,2020-01-25 00:00:00.000040,2020-01-27 00:00:00.000040,224
109,ESAMI,['SI'],2020,2020-01-25 00:00:00.000040,2020-01-27 00:00:00.000040,225
110,NOT_NAMED,['SP'],2020,2020-01-25 12:00:00.000040,2020-01-27 00:00:00.000040,226
111,FRANCISCO,['SI'],2020,2020-02-04 18:00:00.000040,2020-02-07 18:00:00.000040,227
112,DAMIEN,['SI'],2020,2020-02-06 00:00:00.000040,2020-02-09 06:00:00.000040,228
113,UESI,['SP'],2020,2020-02-09 00:00:00.000040,2020-02-15 00:00:00.000040,229
114,FRANCISCO,['SI'],2020,2020-02-14 00:00:00.000040,2020-02-15 12:00:00.000040,230
115,GABEKILE,['SI'],2020,2020-02-15 06:00:00.000040,2020-02-19 06:00:00.000040,231
116,VICKY,['SP'],2020,2020-02-21 00:00:00.000040,2020-02-23 00:00:00.000040,232
117,WASI,['SP'],2020,2020-02-21 12:00:00.000040,2020-02-23 18:00:00.000040,233
118,FERDINAND,['SI'],2020,2020-02-23 18:00:00.000040,2020-03-01 00:00:00.000040,234
119,ESTHER,"['SI', 'SP']",2020,2020-02-23 12:00:00.000040,2020-02-29 18:00:00.000040,235
120,NOT_NAMED,['SI'],2020,2020-03-11 06:00:00.000040,2020-03-12 18:00:00.000040,236
121,HEROLD,['SI'],2020,2020-03-13 06:00:00.000040,2020-03-19 18:00:00.000040,237
122,GRETEL,['SP'],2020,2020-03-14 18:00:00.000040,2020-03-16 12:00:00.000040,238
123,IRONDRO,['SI'],2020,2020-04-02 06:00:00.000040,2020-04-07 00:00:00.000040,239
124,HAROLD,['SP'],2020,2020-04-02 18:00:00.000040,2020-04-10 00:00:00.000040,240
125,JERUTO,['SI'],2020,2020-04-14 18:00:00.000040,2020-04-15 18:00:00.000040,241
126,NOT_NAMED,['EP'],2020,2020-04-22 12:00:00.000040,2020-04-26 18:00:00.000040,242
127,VONGFONG,['WP'],2020,2020-05-11 18:00:00.000040,2020-05-16 18:00:00.000040,243
128,ARTHUR,['NA'],2020,2020-05-15 12:00:00.000040,2020-05-19 18:00:00.000040,244
129,AMPHAN,['NI'],2020,2020-05-16 12:00:00.000040,2020-05-21 00:00:00.000040,245
130,MANGGA,['SI'],2020,2020-05-21 00:00:00.000040,2020-05-23 18:00:00.000040,246
131,BERTHA,['NA'],2020,2020-05-25 18:00:00.000040,2020-05-28 12:00:00.000040,247
132,AMANDA:CRISTOBAL,"['EP', 'NA']",2020,2020-05-28 18:00:00.000040,2020-06-10 06:00:00.000040,248
133,NISARGA,['NI'],2020,2020-06-02 18:00:00.000040,2020-06-03 12:00:00.000040,249
134,NURI,['WP'],2020,2020-06-12 00:00:00.000040,2020-06-14 12:00:00.000040,250
135,DOLLY,['NA'],2020,2020-06-20 12:00:00.000040,2020-06-24 12:00:00.000040,251
136,BORIS,['EP'],2020,2020-06-22 00:00:00.000040,2020-06-30 12:00:00.000040,252
137,NOT_NAMED,['EP'],2020,2020-06-27 00:00:00.000040,2020-06-30 18:00:00.000040,253
138,EDOUARD,['NA'],2020,2020-07-03 00:00:00.000040,2020-07-06 18:00:00.000040,254
139,FAY,['NA'],2020,2020-07-04 18:00:00.000040,2020-07-11 06:00:00.000040,255
140,CRISTINA,['EP'],2020,2020-07-05 18:00:00.000040,2020-07-13 00:00:00.000040,256
141,NOT_NAMED,['EP'],2020,2020-07-09 18:00:00.000040,2020-07-14 18:00:00.000040,257
142,NOT_NAMED,['EP'],2020,2020-07-17 18:00:00.000040,2020-07-21 12:00:00.000040,258
143,DOUGLAS,['EP'],2020,2020-07-20 00:00:00.000040,2020-07-30 00:00:00.000040,259
144,GONZALO,['NA'],2020,2020-07-20 12:00:00.000040,2020-07-25 18:00:00.000040,260
145,HANNA,['NA'],2020,2020-07-22 00:00:00.000040,2020-07-27 06:00:00.000040,261
146,ISAIAS,['NA'],2020,2020-07-23 18:00:00.000040,2020-08-05 06:00:00.000040,262
147,NOT_NAMED,['NA'],2020,2020-07-29 18:00:00.000040,2020-08-02 00:00:00.000040,263
148,SINLAKU,['WP'],2020,2020-08-01 06:00:00.000040,2020-08-03 00:00:00.000040,264
149,HAGUPIT,['WP'],2020,2020-08-01 06:00:00.000040,2020-08-05 12:00:00.000040,265
150,ELIDA,['EP'],2020,2020-08-08 00:00:00.000040,2020-08-13 00:00:00.000040,266
151,JANGMI,['WP'],2020,2020-08-08 06:00:00.000040,2020-08-11 00:00:00.000040,267
152,JOSEPHINE,['NA'],2020,2020-08-09 18:00:00.000040,2020-08-16 18:00:00.000040,268
153,MEKKHALA,['WP'],2020,2020-08-09 12:00:00.000040,2020-08-11 00:00:00.000040,269
154,NOT_NAMED,['WP'],2020,2020-08-09 12:00:00.000040,2020-08-13 00:00:00.000040,270
155,NOT_NAMED,['EP'],2020,2020-08-11 06:00:00.000040,2020-08-17 18:00:00.000040,271
156,KYLE,['NA'],2020,2020-08-13 06:00:00.000040,2020-08-16 06:00:00.000040,272
157,GENEVIEVE,"['EP', 'NA']",2020,2020-08-14 06:00:00.000040,2020-08-21 18:00:00.000040,273
158,FAUSTO,['EP'],2020,2020-08-13 12:00:00.000040,2020-08-17 12:00:00.000040,274
159,MARCO,['NA'],2020,2020-08-15 00:00:00.000040,2020-08-25 06:00:00.000040,275
160,LAURA,['NA'],2020,2020-08-16 18:00:00.000040,2020-08-29 06:00:00.000040,276
161,HIGOS,['WP'],2020,2020-08-17 18:00:00.000040,2020-08-19 06:00:00.000040,277
162,BAVI,['WP'],2020,2020-08-21 18:00:00.000040,2020-08-27 12:00:00.000040,278
163,HERNAN,['EP'],2020,2020-08-24 00:00:00.000040,2020-08-28 18:00:00.000040,279
164,ISELLE,['EP'],2020,2020-08-24 12:00:00.000040,2020-08-30 18:00:00.000040,280
165,MAYSAK,['WP'],2020,2020-08-28 00:00:00.000040,2020-09-03 06:00:00.000040,281
166,OMAR,['NA'],2020,2020-08-30 00:00:00.000040,2020-09-05 18:00:00.000040,282
167,NANA,['NA'],2020,2020-08-30 12:00:00.000040,2020-09-04 00:00:00.000040,283
168,HAISHEN,['WP'],2020,2020-08-31 12:00:00.000040,2020-09-07 12:00:00.000040,284
169,PAULETTE,['NA'],2020,2020-09-03 12:00:00.000040,2020-09-23 18:00:00.000040,285
170,JULIO,['EP'],2020,2020-09-03 12:00:00.000040,2020-09-07 06:00:00.000040,286
171,RENE,['NA'],2020,2020-09-05 12:00:00.000040,2020-09-14 18:00:00.000040,287
172,TEDDY,['NA'],2020,2020-09-10 06:00:00.000040,2020-09-24 00:00:00.000040,288
173,KARINA,['EP'],2020,2020-09-10 00:00:00.000040,2020-09-17 00:00:00.000040,289
174,SALLY,['NA'],2020,2020-09-10 06:00:00.000040,2020-09-18 00:00:00.000040,290
175,VICKY,['NA'],2020,2020-09-11 12:00:00.000040,2020-09-17 18:00:00.000040,291
176,NOT_NAMED,['WP'],2020,2020-09-11 18:00:00.000040,2020-09-12 12:00:00.000040,292
177,WILFRED,['NA'],2020,2020-09-14 18:00:00.000040,2020-09-21 00:00:00.000040,293
178,ALPHA,['NA'],2020,2020-09-14 12:00:00.000040,2020-09-19 00:00:00.000040,294
179,NOUL,['WP'],2020,2020-09-15 18:00:00.000040,2020-09-18 12:00:00.000040,295
180,BETA,['NA'],2020,2020-09-16 06:00:00.000040,2020-09-25 06:00:00.000040,296
181,LOWELL,['EP'],2020,2020-09-19 06:00:00.000040,2020-09-25 18:00:00.000040,297
182,DOLPHIN,['WP'],2020,2020-09-20 12:00:00.000040,2020-09-25 00:00:00.000040,298
183,MARIE,['EP'],2020,2020-09-26 18:00:00.000040,2020-10-07 00:00:00.000040,299
184,KUJIRA,['WP'],2020,2020-09-26 18:00:00.000040,2020-09-30 06:00:00.000040,300
185,GAMMA,['NA'],2020,2020-09-30 12:00:00.000040,2020-10-06 00:00:00.000040,301
186,NORBERT,['EP'],2020,2020-10-02 18:00:00.000040,2020-10-15 06:00:00.000040,302
187,DELTA,['NA'],2020,2020-10-02 12:00:00.000040,2020-10-12 00:00:00.000040,303
188,CHAN-HOM,['WP'],2020,2020-10-04 18:00:00.000040,2020-10-12 12:00:00.000040,304
189,LINFA,['WP'],2020,2020-10-10 00:00:00.000040,2020-10-12 00:00:00.000040,305
190,NANGKA,['WP'],2020,2020-10-11 18:00:00.000040,2020-10-14 12:00:00.000040,306
191,EPSILON,['NA'],2020,2020-10-16 00:00:00.000040,2020-10-26 00:00:00.000040,307
192,SAUDEL,['WP'],2020,2020-10-19 00:00:00.000040,2020-10-26 06:00:00.000040,308
193,ZETA,['NA'],2020,2020-10-20 00:00:00.000040,2020-10-29 18:00:00.000040,309
194,NOT_NAMED,['WP'],2020,2020-10-20 12:00:00.000040,2020-10-21 12:00:00.000040,310
195,MOLAVE,['WP'],2020,2020-10-24 00:00:00.000040,2020-10-28 06:00:00.000040,311
196,GONI,['WP'],2020,2020-10-28 00:00:00.000040,2020-11-06 06:00:00.000040,312
197,ETA,['NA'],2020,2020-10-29 00:00:00.000040,2020-11-13 06:00:00.000040,313
198,ATSANI,['WP'],2020,2020-10-29 12:00:00.000040,2020-11-07 12:00:00.000040,314
199,ODALYS,['EP'],2020,2020-11-01 18:00:00.000040,2020-11-06 00:00:00.000040,315
200,THETA,['NA'],2020,2020-11-07 18:00:00.000040,2020-11-15 12:00:00.000040,316
201,VAMCO,['WP'],2020,2020-11-09 06:00:00.000040,2020-11-15 12:00:00.000040,317
202,ETAU,['WP'],2020,2020-11-08 12:00:00.000040,2020-11-10 18:00:00.000040,318
203,POLO,['EP'],2020,2020-11-12 18:00:00.000040,2020-11-19 18:00:00.000040,319
204,IOTA,['NA'],2020,2020-11-12 12:00:00.000040,2020-11-18 12:00:00.000040,320
205,ALICIA,['SI'],2020,2020-11-14 00:00:00.000040,2020-11-18 06:00:00.000040,321
206,GATI,['NI'],2020,2020-11-21 18:00:00.000040,2020-11-25 00:00:00.000040,322
207,NIVAR,['NI'],2020,2020-11-23 12:00:00.000040,2020-11-26 12:00:00.000040,323
208,BUREVI,['NI'],2020,2020-12-01 12:00:00.000040,2020-12-05 18:00:00.000040,324
209,BONGOYO,['SI'],2020,2020-12-07 12:00:00.000040,2020-12-12 00:00:00.000040,325
210,NOT_NAMED,['SI'],2020,2020-12-08 18:00:00.000040,2020-12-11 06:00:00.000040,326
211,NOT_NAMED,['SP'],2020,2020-12-11 00:00:00.000040,2020-12-12 12:00:00.000040,327
212,YASA,['SP'],2020,2020-12-12 12:00:00.000040,2020-12-19 18:00:00.000040,328
213,ZAZU,['SP'],2020,2020-12-13 12:00:00.000040,2020-12-16 18:00:00.000040,329
214,KROVANH,['WP'],2020,2020-12-20 00:00:00.000040,2020-12-23 18:00:00.000040,330
215,CHALANE,['SI'],2020,2020-12-25 00:00:00.000040,2020-12-30 00:00:00.000040,331
